audiofile,chunk,f0med,f0sd,f0SAQ,f0min,f0max,sdf0peak,f0peakwidth,f0peak_rate,sdtf0peak,df0posmean,df0negmean,df0sdpos,df0sdneg,emph,cvint,slLTASmed,slLTAShigh,hnr,SPI,shimmer,jitter,sr
ALCP_AdrieleS_001_merged,chunk,236,30.47,21.73,134,283,25.6,5.3,1.81,0.26,6.15,-7.77,5.69,8.66,3.5,8,-15.3,-31.8,11.8,20.7,13.6,2.4,4.8
ALCP_AdrieleS_002_merged,chunk,228,32.78,17.21,105,259,14.2,1.6,1.03,0.29,5.13,-5.00,4.08,3.74,1.5,12,-22.7,-31.0,10.6,22.9,14.5,2.2,4.3
ALCP_AdrieleS_003_merged,chunk,213,19.66,10.90,179,254,19.3,13.1,1.85,0.13,5.02,-4.91,3.22,3.50,0.3,9,-27.1,-36.2,10.3,17.0,16.5,3.0,5.7
ALCP_AdrieleS_004_merged,chunk,225,29.81,23.53,175,279,20.6,17.5,1.81,0.12,7.34,-5.93,5.15,6.41,3.5,7,-13.0,-33.2,11.2,19.0,13.2,2.0,4.4
ALCP_AdrieleS_013_merged,chunk,232,24.86,19.55,173,274,28.5,6.2,1.08,0.35,3.48,-6.49,2.26,3.64,7.0,12,-14.8,-26.5,10.3,22.7,13.6,1.7,3.6
ALCP_AdrieleS_016_merged,chunk,224,36.54,16.40,101,266,21.5,3.2,1.17,0.65,4.95,-5.80,2.76,6.57,5.4,11,-16.6,-27.0,10.8,21.7,14.3,2.4,5.5
ALCP_AdrieleS_017_merged,chunk,239,19.69,13.66,192,269,12.5,6.6,1.55,0.04,5.15,-3.80,3.82,2.91,5.1,9,-15.6,-31.0,11.4,23.9,13.8,1.5,5.5
ALCP_AdrieleS_018_merged,chunk,237,24.26,13.22,174,263,9.1,6.6,1.70,0.33,6.59,-4.49,4.87,4.07,3.0,8,-16.4,-34.3,10.4,16.9,14.4,3.4,7.0
ALCP_AdrieleS_019_merged,chunk,237,39.99,35.50,158,283,38.9,4.4,1.74,0.39,6.40,-5.83,4.74,4.57,8.1,11,-14.9,-33.6,11.6,18.5,15.4,1.8,5.5
ALCP_AdrieleS_020_merged,chunk,226,33.26,25.93,159,272,16.7,7.6,1.46,0.18,9.35,-5.52,6.08,5.53,7.3,12,-12.2,-27.7,11.3,16.9,14.4,2.7,4.4
ALCP_AdrieleS_021_merged,chunk,226,13.09,8.30,192,252,8.0,19.8,1.51,0.21,3.13,-2.71,2.98,1.97,7.4,11,-11.6,-29.2,9.6,27.2,15.0,1.9,4.3
ALCP_AdrieleS_022_merged,chunk,222,24.27,19.94,177,261,22.2,21.8,1.38,0.17,6.49,-4.87,4.26,3.23,2.8,9,-17.1,-28.5,8.6,20.3,14.6,2.4,4.0
ALCP_AdrieleS_023_merged,chunk,231,21.76,13.26,158,268,16.3,9.4,1.56,0.20,4.30,-5.66,2.91,6.27,6.2,13,-14.5,-26.7,8.2,25.9,15.2,2.4,2.8
ALCP_AdrieleS_026_merged,chunk,201,27.04,21.85,161,268,20.0,12.7,2.56,NA,5.50,-4.34,3.03,2.39,2.7,12,-18.3,-31.4,10.1,18.4,13.5,1.5,1.7
ALCP_AdrieleS_028_merged,chunk,225,12.01,6.89,214,254,15.5,5.3,2.14,0.15,2.49,-2.39,2.60,2.29,8.0,9,-18.5,-32.7,10.4,21.7,13.3,2.0,6.2
ALCP_AdrieleS_029_merged,chunk,227,15.47,8.77,168,247,17.5,12.9,1.64,0.18,3.32,-4.63,1.96,3.82,5.4,12,-14.0,-29.9,9.2,24.4,15.8,2.0,4.8
ALCP_AdrieleS_030_merged,chunk,230,17.50,10.16,208,273,21.1,4.4,2.09,0.23,2.94,-3.32,2.56,2.60,6.8,8,-16.6,-31.5,9.5,125.7,15.7,2.3,6.9
ALCP_AdrieleS_031_merged,chunk,201,21.96,14.29,164,261,21.5,9.9,1.62,0.21,3.54,-3.85,3.46,4.47,4.5,10,-15.7,-31.9,10.0,19.5,15.1,1.7,4.1
ALCP_AdrieleS_032_merged,chunk,235,23.71,17.15,183,284,28.1,12.6,1.85,0.18,4.30,-4.13,4.38,4.28,5.6,10,-12.1,-31.5,10.8,20.1,15.0,2.7,4.3
ALCP_AdrieleS_034_merged,chunk,240,23.23,17.25,202,282,28.5,7.8,1.93,0.18,4.34,-3.69,3.40,3.52,3.8,9,-16.3,-31.0,9.9,23.0,15.9,2.5,6.9
ALCP_AdrieleS_036_merged,chunk,209,22.30,13.87,114,243,18.3,6.8,1.26,0.13,3.76,-3.56,2.30,2.94,3.9,31,-14.9,-30.2,9.8,20.5,13.8,2.0,4.0
ALCP_AdrieleS_037_merged,chunk,233,27.72,19.31,180,279,14.4,17.4,1.09,0.23,6.28,-4.76,4.33,3.35,5.0,10,-11.1,-32.7,11.4,21.2,13.6,1.6,3.7
ALCP_AdrieleS_040_merged,chunk,227,30.76,19.42,109,263,15.2,6.0,1.50,0.44,6.01,-5.06,4.49,3.40,1.1,11,-25.7,-38.4,9.3,15.1,14.8,2.8,4.9
ALCP_AdrieleS_041_merged,chunk,222,52.28,34.97,94,280,41.9,4.2,1.47,0.39,6.07,-5.93,4.71,5.24,1.7,9,-22.7,-33.7,8.4,17.0,14.0,2.7,4.6
ALCP_AdrieleS_047_merged,chunk,211,18.41,13.11,164,250,17.6,27.7,1.47,0.28,6.30,-4.44,4.68,3.66,1.9,9,-21.6,-33.7,9.4,19.4,14.9,2.4,5.3
ALCP_AdrieleS_049_merged,chunk,240,27.05,19.18,183,279,20.1,4.7,1.67,0.23,4.61,-5.65,4.50,5.60,6.7,11,-11.9,-32.5,10.3,19.4,13.6,2.0,5.7
ALCP_AdrieleS_051_merged,chunk,240,23.54,23.55,199,274,27.9,5.6,1.63,0.13,1.97,-5.11,2.68,4.61,3.5,10,-15.5,-29.7,9.1,24.8,15.7,2.1,4.2
ALCP_AdrieleS_053_merged,chunk,223,25.58,12.53,137,255,11.1,6.6,1.56,0.26,7.24,-7.08,3.46,5.56,6.4,11,-18.2,-30.3,10.2,18.4,14.8,1.9,3.1
ALCP_AdrieleS_054_merged,chunk,215,18.82,12.10,180,259,25.9,20.7,1.41,0.14,2.92,-2.82,3.62,3.43,3.8,12,-14.7,-29.5,9.0,16.3,15.8,3.3,2.6
ALCP_AdrieleS_056_merged,chunk,233,31.30,24.32,157,257,34.7,7.3,1.24,0.20,4.95,-3.24,2.84,4.67,5.8,12,-14.5,-31.6,8.3,15.1,18.1,3.3,4.4
ALCP_AdrieleS_057_merged,chunk,221,12.94,10.24,198,249,13.8,15.5,1.18,0.61,2.47,-3.54,2.34,2.70,2.9,10,-18.3,-32.0,7.8,21.9,16.2,2.4,5.0
ALCP_AdrieleS_059_merged,chunk,221,30.50,25.74,175,277,24.2,9.9,2.17,0.15,6.95,-7.68,6.05,5.80,7.4,12,-13.5,-30.9,11.1,17.6,14.4,2.2,5.0
ALCP_AdrieleS_061_merged,chunk,231,21.55,17.61,159,253,18.6,2.4,1.99,0.22,3.97,-4.45,4.10,5.10,5.0,11,-17.0,-31.1,11.1,20.6,13.3,2.7,5.0
ALCP_AdrieleS_062_merged,chunk,228,18.37,13.29,183,255,23.2,8.4,2.25,0.19,3.19,-3.41,3.56,2.33,6.6,10,-18.2,-32.8,10.7,23.2,13.9,2.2,4.8
ALCP_AdrieleS_065_merged,chunk,205,23.40,22.57,167,241,21.5,12.8,2.03,0.05,6.74,-6.61,5.14,3.94,9.0,9,-16.1,-34.1,12.4,19.0,14.4,1.8,6.6
ALCP_AdrieleS_068_merged,chunk,247,17.90,12.36,216,282,19.4,4.1,2.00,0.10,2.11,-4.98,2.01,5.13,11.3,13,-19.4,-37.7,13.2,27.2,11.0,2.4,4.8
ALCP_AdrieleS_069_merged,chunk,218,16.48,16.54,191,242,17.5,11.5,1.89,0.20,1.61,-1.74,1.18,1.22,4.2,10,-22.9,-35.9,9.2,54.0,15.8,2.7,5.2
ALCP_AdrieleS_071_merged,chunk,228,26.53,21.85,196,284,28.3,5.7,1.88,0.51,3.41,-2.97,1.89,2.05,8.5,10,-16.2,-37.1,12.2,75.9,10.7,2.7,6.1
ALCP_AdrieleS_072_merged,chunk,200,17.38,10.80,186,263,17.3,10.4,1.98,0.24,3.42,-1.78,2.89,2.08,0.3,12,-29.3,-41.0,9.3,22.1,16.3,2.4,5.5
ALCP_AdrieleS_073_merged,chunk,229,15.59,9.72,199,272,13.1,21.5,1.60,0.06,3.79,-3.74,2.95,1.96,6.0,11,-18.0,-30.3,10.1,127.1,14.4,2.2,3.9
ALCP_AdrieleS_074_merged,chunk,223,10.49,8.70,203,237,14.8,50.3,1.40,0.73,5.22,-2.31,3.92,1.82,4.8,9,-19.3,-27.3,9.9,18.0,14.5,2.4,6.2
ALCP_AdrieleS_077_merged,chunk,224,27.03,15.23,132,262,18.5,3.3,1.16,0.41,3.52,-5.84,4.39,4.75,8.2,11,-19.7,-30.1,11.3,24.0,12.8,1.7,5.5
ALCP_AdrieleS_080_merged,chunk,231,25.37,17.90,167,281,22.3,7.9,1.70,0.24,5.78,-3.92,5.78,4.33,8.8,13,-17.5,-33.2,9.7,20.5,14.8,2.7,5.4
ALCP_AdrieleS_084_merged,chunk,226,10.43,9.46,206,243,10.7,8.8,1.78,0.39,2.20,-1.68,2.09,2.00,4.6,11,-16.7,-22.9,8.4,21.0,14.4,1.5,2.3
