audiofile,sg_dur,vv_num,sg_dur_norm,order
ALCP_AdrieleS_001_merged,150,1,0.40,1
ALCP_AdrieleS_001_merged,1240,3,16.34,2
ALCP_AdrieleS_001_merged,960,6,6.92,3
ALCP_AdrieleS_001_merged,930,5,4.35,4
ALCP_AdrieleS_001_merged,680,5,1.41,5
ALCP_AdrieleS_002_merged,480,3,0.81,1
ALCP_AdrieleS_002_merged,1420,6,31.50,2
ALCP_AdrieleS_002_merged,2140,7,75.53,3
ALCP_AdrieleS_003_merged,1830,8,12.22,1
ALCP_AdrieleS_003_merged,580,4,0.59,2
ALCP_AdrieleS_003_merged,770,7,0.20,3
ALCP_AdrieleS_004_merged,890,3,10.33,1
ALCP_AdrieleS_004_merged,1520,8,12.20,2
ALCP_AdrieleS_004_merged,1220,6,0.81,3
ALCP_AdrieleS_013_merged,1390,7,6.03,1
ALCP_AdrieleS_013_merged,1560,5,36.12,2
ALCP_AdrieleS_016_merged,900,5,7.24,1
ALCP_AdrieleS_016_merged,520,4,1.40,2
ALCP_AdrieleS_016_merged,1560,7,27.10,3
ALCP_AdrieleS_016_merged,640,4,2.48,4
ALCP_AdrieleS_017_merged,1050,5,6.37,1
ALCP_AdrieleS_017_merged,270,2,2.54,2
ALCP_AdrieleS_017_merged,910,6,2.73,3
ALCP_AdrieleS_017_merged,1060,6,3.26,4
ALCP_AdrieleS_018_merged,700,5,1.41,1
ALCP_AdrieleS_018_merged,890,4,17.73,2
ALCP_AdrieleS_018_merged,1270,10,-0.70,3
ALCP_AdrieleS_018_merged,520,4,-0.40,4
ALCP_AdrieleS_019_merged,1960,7,46.73,1
ALCP_AdrieleS_019_merged,1790,12,1.05,2
ALCP_AdrieleS_019_merged,1090,8,1.40,3
ALCP_AdrieleS_019_merged,810,5,0.06,4
ALCP_AdrieleS_020_merged,380,1,3.91,1
ALCP_AdrieleS_020_merged,1370,8,2.18,2
ALCP_AdrieleS_020_merged,1270,4,31.18,3
ALCP_AdrieleS_020_merged,890,5,3.91,4
ALCP_AdrieleS_021_merged,1040,5,5.34,1
ALCP_AdrieleS_021_merged,1390,8,22.20,2
ALCP_AdrieleS_021_merged,1300,4,18.53,3
ALCP_AdrieleS_022_merged,730,2,25.16,1
ALCP_AdrieleS_022_merged,1760,4,48.87,2
ALCP_AdrieleS_022_merged,650,4,-0.08,3
ALCP_AdrieleS_022_merged,1320,4,28.40,4
ALCP_AdrieleS_022_merged,1270,10,1.01,5
ALCP_AdrieleS_023_merged,1190,2,30.92,1
ALCP_AdrieleS_023_merged,1840,6,15.89,2
ALCP_AdrieleS_023_merged,1010,3,23.79,3
ALCP_AdrieleS_023_merged,1390,5,0.86,4
ALCP_AdrieleS_026_merged,2040,5,81.40,1
ALCP_AdrieleS_028_merged,200,1,1.51,1
ALCP_AdrieleS_028_merged,910,3,7.60,2
ALCP_AdrieleS_028_merged,1020,9,0.35,3
ALCP_AdrieleS_028_merged,920,7,2.12,4
ALCP_AdrieleS_029_merged,1290,2,21.46,1
ALCP_AdrieleS_029_merged,1300,5,28.19,2
ALCP_AdrieleS_029_merged,470,4,0.27,3
ALCP_AdrieleS_029_merged,320,3,-0.64,4
ALCP_AdrieleS_029_merged,350,3,2.13,5
ALCP_AdrieleS_029_merged,830,6,1.48,6
ALCP_AdrieleS_030_merged,510,3,-0.18,1
ALCP_AdrieleS_030_merged,640,6,0.08,2
ALCP_AdrieleS_030_merged,230,2,-1.01,3
ALCP_AdrieleS_030_merged,700,5,0.78,4
ALCP_AdrieleS_030_merged,870,5,1.21,5
ALCP_AdrieleS_031_merged,670,1,10.18,1
ALCP_AdrieleS_031_merged,1410,6,10.17,2
ALCP_AdrieleS_031_merged,1590,6,48.87,3
ALCP_AdrieleS_031_merged,1510,9,0.32,4
ALCP_AdrieleS_032_merged,170,1,0.84,1
ALCP_AdrieleS_032_merged,1130,6,5.15,2
ALCP_AdrieleS_032_merged,1690,5,24.84,3
ALCP_AdrieleS_032_merged,770,5,-0.64,4
ALCP_AdrieleS_034_merged,240,2,0.43,1
ALCP_AdrieleS_034_merged,1470,9,8.13,2
ALCP_AdrieleS_034_merged,1260,11,10.39,3
ALCP_AdrieleS_034_merged,1550,10,4.91,4
ALCP_AdrieleS_036_merged,150,1,1.07,1
ALCP_AdrieleS_036_merged,3260,8,36.35,2
ALCP_AdrieleS_036_merged,1750,12,0.05,3
ALCP_AdrieleS_037_merged,370,1,3.78,1
ALCP_AdrieleS_037_merged,1340,4,59.73,2
ALCP_AdrieleS_037_merged,2140,7,10.51,3
ALCP_AdrieleS_040_merged,1140,5,8.03,1
ALCP_AdrieleS_040_merged,1190,8,1.11,2
ALCP_AdrieleS_040_merged,1840,5,50.92,3
ALCP_AdrieleS_040_merged,760,7,1.83,4
ALCP_AdrieleS_041_merged,1010,1,39.06,1
ALCP_AdrieleS_041_merged,930,2,36.82,2
ALCP_AdrieleS_041_merged,1210,9,6.88,3
ALCP_AdrieleS_047_merged,1510,6,42.76,1
ALCP_AdrieleS_047_merged,1960,8,46.20,2
ALCP_AdrieleS_047_merged,760,8,0.10,3
ALCP_AdrieleS_049_merged,460,2,1.16,1
ALCP_AdrieleS_049_merged,850,6,0.94,2
ALCP_AdrieleS_049_merged,970,6,3.67,3
ALCP_AdrieleS_049_merged,810,4,15.97,4
ALCP_AdrieleS_049_merged,840,5,8.20,5
ALCP_AdrieleS_051_merged,1200,3,20.97,1
ALCP_AdrieleS_051_merged,1730,7,27.83,2
ALCP_AdrieleS_051_merged,920,7,2.21,3
ALCP_AdrieleS_053_merged,540,2,13.84,1
ALCP_AdrieleS_053_merged,2640,8,24.61,2
ALCP_AdrieleS_054_merged,2060,3,37.00,1
ALCP_AdrieleS_054_merged,2310,6,0.68,2
ALCP_AdrieleS_054_merged,970,6,1.09,3
ALCP_AdrieleS_056_merged,1220,3,39.35,1
ALCP_AdrieleS_056_merged,2940,13,70.20,2
ALCP_AdrieleS_057_merged,800,3,6.51,1
ALCP_AdrieleS_057_merged,800,5,0.11,2
ALCP_AdrieleS_057_merged,2020,9,66.87,3
ALCP_AdrieleS_057_merged,880,6,1.72,4
ALCP_AdrieleS_059_merged,1190,4,19.53,1
ALCP_AdrieleS_059_merged,1510,10,6.34,2
ALCP_AdrieleS_061_merged,620,1,10.84,1
ALCP_AdrieleS_061_merged,340,2,8.93,2
ALCP_AdrieleS_061_merged,1790,12,18.86,3
ALCP_AdrieleS_062_merged,810,2,18.58,1
ALCP_AdrieleS_062_merged,930,8,0.27,2
ALCP_AdrieleS_062_merged,1620,6,16.58,3
ALCP_AdrieleS_062_merged,1050,6,-0.03,4
ALCP_AdrieleS_065_merged,650,6,1.86,1
ALCP_AdrieleS_065_merged,730,6,-0.39,2
ALCP_AdrieleS_065_merged,430,4,-1.00,3
ALCP_AdrieleS_065_merged,970,4,7.03,4
ALCP_AdrieleS_065_merged,680,4,2.04,5
ALCP_AdrieleS_068_merged,840,4,5.02,1
ALCP_AdrieleS_068_merged,1170,4,16.70,2
ALCP_AdrieleS_068_merged,700,5,2.62,3
ALCP_AdrieleS_069_merged,1930,11,22.04,1
ALCP_AdrieleS_069_merged,680,4,1.41,2
ALCP_AdrieleS_069_merged,840,4,-0.67,3
ALCP_AdrieleS_071_merged,350,3,-0.93,1
ALCP_AdrieleS_071_merged,880,4,19.65,2
ALCP_AdrieleS_071_merged,1360,10,2.71,3
ALCP_AdrieleS_072_merged,160,2,0.68,1
ALCP_AdrieleS_072_merged,1180,6,12.23,2
ALCP_AdrieleS_072_merged,1090,8,-0.96,3
ALCP_AdrieleS_072_merged,210,2,0.60,4
