audiofile,chunk,segment,dur,z_dur,filtered_z_dur,boundary,order
ALCP_AdrieleS_001_merged,no_label,a,150,0.40,0.12,1,1
ALCP_AdrieleS_001_merged,chunk,eUv,180,-0.43,-0.15,0,2
ALCP_AdrieleS_001_merged,chunk,iNm,190,0.05,3.72,0,3
ALCP_AdrieleS_001_merged,chunk,aISn,870,16.34,6.05,1,4
ALCP_AdrieleS_001_merged,chunk,aNUm,200,-0.05,3.07,0,5
ALCP_AdrieleS_001_merged,chunk,eUm,140,-2.57,-0.06,0,6
ALCP_AdrieleS_001_merged,chunk,ar,150,-1.18,-1.13,0,7
ALCP_AdrieleS_001_merged,chunk,id,130,-0.54,-0.02,0,8
ALCP_AdrieleS_001_merged,chunk,Un,110,0.53,1.14,0,9
ALCP_AdrieleS_001_merged,chunk,aNU,230,6.92,1.67,1,10
ALCP_AdrieleS_001_merged,chunk,eUm,70,-5.84,0.009,0,11
ALCP_AdrieleS_001_merged,chunk,or,300,3.55,-0.20,0,12
ALCP_AdrieleS_001_merged,chunk,av,60,-2.64,-0.73,0,13
ALCP_AdrieleS_001_merged,chunk,Al,70,-1.81,-0.30,0,14
ALCP_AdrieleS_001_merged,chunk,ak,430,4.35,-0.03,1,15
ALCP_AdrieleS_001_merged,chunk,oNm,120,-3.51,-1.36,0,16
ALCP_AdrieleS_001_merged,chunk,eUm,120,-3.50,-2.02,0,17
ALCP_AdrieleS_001_merged,chunk,ar,170,-0.78,-1.31,0,18
ALCP_AdrieleS_001_merged,chunk,id,140,-0.18,0.02,0,19
ALCP_AdrieleS_001_merged,chunk,Un,130,1.41,0.88,1,20
ALCP_AdrieleS_002_merged,no_label,a,120,-0.27,-0.12,0,1
ALCP_AdrieleS_002_merged,chunk,id,150,0.18,0.03,0,2
ALCP_AdrieleS_002_merged,chunk,ep,210,0.81,0.28,1,3
ALCP_AdrieleS_002_merged,chunk,oISv,260,-0.05,0.004,0,4
ALCP_AdrieleS_002_merged,chunk,eI,120,-0.46,-0.50,0,5
ALCP_AdrieleS_002_merged,chunk,Um,90,-0.91,-0.88,0,6
ALCP_AdrieleS_002_merged,chunk,inh,100,-2.15,1.58,0,7
ALCP_AdrieleS_002_merged,chunk,Am,140,1.01,6.86,0,8
ALCP_AdrieleS_002_merged,chunk,aNI,710,31.50,11.55,1,9
ALCP_AdrieleS_002_merged,chunk,im,80,-2.95,6.24,0,10
ALCP_AdrieleS_002_merged,chunk,eUS,230,0.62,1.63,0,11
ALCP_AdrieleS_002_merged,chunk,iRm,140,-1.51,-0.62,0,12
ALCP_AdrieleS_002_merged,chunk,aNUt,220,-0.04,-0.28,0,13
ALCP_AdrieleS_002_merged,chunk,ud,180,0.78,5.56,0,14
ALCP_AdrieleS_002_merged,chunk,inh,110,-1.85,16.72,0,15
ALCP_AdrieleS_002_merged,chunk,U,1180,75.53,28.00,1,16
ALCP_AdrieleS_002_merged,chunk,in,80,-2.27,15.83,0,17
ALCP_AdrieleS_002_merged,chunk,ohSs,200,-2.06,4.11,0,18
ALCP_AdrieleS_002_merged,chunk,om,140,-1.34,-1.76,0,19
ALCP_AdrieleS_002_merged,chunk,US,90,-0.90,-1.80,0,20
