audiofile,sg_dur,vv_num,sg_dur_norm,order
SP2010_AlbertoM_004_merged,860,7,2.01,1
SP2010_AlbertoM_004_merged,2180,7,76.07,2
SP2010_AlbertoM_004_merged,1310,11,0.42,3
SP2010_AlbertoM_004_merged,710,4,7.92,4
SP2010_AlbertoM_005_merged,360,1,3.45,1
SP2010_AlbertoM_005_merged,470,4,-2.47,2
SP2010_AlbertoM_005_merged,1120,7,4.50,3
SP2010_AlbertoM_005_merged,1180,4,26.45,4
SP2010_AlbertoM_005_merged,1310,9,0.62,5
SP2010_AlbertoM_006_merged,1050,1,34.52,1
SP2010_AlbertoM_006_merged,870,7,-1.30,2
SP2010_AlbertoM_006_merged,2130,7,12.15,3
SP2010_AlbertoM_006_merged,790,4,9.72,4
SP2010_AlbertoM_007_merged,240,2,-0.71,1
SP2010_AlbertoM_007_merged,410,3,2.55,2
SP2010_AlbertoM_007_merged,930,7,-0.04,3
SP2010_AlbertoM_007_merged,520,4,-1.30,4
SP2010_AlbertoM_007_merged,1330,9,2.65,5
SP2010_AlbertoM_007_merged,780,4,17.64,6
SP2010_AlbertoM_010_merged,210,2,0,1
SP2010_AlbertoM_010_merged,630,7,0.50,2
SP2010_AlbertoM_010_merged,2250,6,61.89,3
SP2010_AlbertoM_010_merged,950,5,8.20,4
SP2010_AlbertoM_011_merged,1110,8,1.94,1
SP2010_AlbertoM_011_merged,1430,10,6.96,2
SP2010_AlbertoM_018_merged,1080,7,4.84,1
SP2010_AlbertoM_018_merged,850,4,32.87,2
SP2010_AlbertoM_018_merged,770,4,2.73,3
SP2010_AlbertoM_027_merged,2040,3,173.20,1
SP2010_AlbertoM_123_merged,180,2,4.87,1
SP2010_AlbertoM_123_merged,1050,5,7.96,2
SP2010_AlbertoM_123_merged,990,7,8.17,3
SP2010_AlbertoM_123_merged,1330,10,-1.34,4
SP2010_AlbertoM_123_merged,410,4,-1.05,5
SP2010_AlbertoM_123_merged,140,2,-0.79,6
SP2010_AlbertoM_129_merged,190,2,-1.27,1
SP2010_AlbertoM_129_merged,630,5,8.95,2
SP2010_AlbertoM_129_merged,1860,6,79.40,3
SP2010_AlbertoM_131_merged,230,1,1.78,1
SP2010_AlbertoM_131_merged,640,4,3.53,2
SP2010_AlbertoM_131_merged,1130,9,2.87,3
SP2010_AlbertoM_131_merged,570,3,5.35,4
SP2010_AlbertoM_131_merged,460,4,-0.20,5
SP2010_AlbertoM_131_merged,1580,6,19.50,6
SP2010_AlbertoM_131_merged,600,4,1.05,7
SP2010_AlbertoM_132_merged,450,4,-1.26,1
SP2010_AlbertoM_132_merged,960,7,2.94,2
SP2010_AlbertoM_132_merged,720,3,3.99,3
SP2010_AlbertoM_132_merged,550,3,3.58,4
SP2010_AlbertoM_137_merged,440,4,9.92,1
SP2010_AlbertoM_137_merged,1110,4,9.96,2
SP2010_AlbertoM_137_merged,1080,8,0.32,3
SP2010_AlbertoM_137_merged,980,5,9.54,4
SP2010_AlbertoM_140_merged,270,1,9.07,1
SP2010_AlbertoM_140_merged,2130,7,39.53,2
SP2010_AlbertoM_140_merged,740,4,6.99,3
SP2010_AlbertoM_140_merged,480,3,6.65,4
SP2010_AlbertoM_142_merged,970,1,29.07,1
SP2010_AlbertoM_142_merged,770,4,-0.14,2
SP2010_AlbertoM_142_merged,1530,8,12.40,3
SP2010_AlbertoM_197_merged,440,3,2.65,1
SP2010_AlbertoM_197_merged,1410,5,42.79,2
SP2010_AlbertoM_197_merged,1160,7,5.12,3
SP2010_AlbertoM_197_merged,610,5,1.91,4
SP2010_AlbertoM_197_merged,1120,9,5.94,5
SP2010_AlbertoM_200_merged,350,4,-0.89,1
SP2010_AlbertoM_200_merged,520,4,0.26,2
SP2010_AlbertoM_200_merged,890,7,9.82,3
SP2010_AlbertoM_200_merged,2350,12,24.82,4
SP2010_AlbertoM_200_merged,890,5,19.28,5
SP2010_AlbertoM_201_merged,1460,7,18.20,1
SP2010_AlbertoM_201_merged,1730,4,101.54,2
SP2010_AlbertoM_201_merged,1510,12,0.71,3
SP2010_AlbertoM_201_merged,580,4,-0.26,4
SP2010_AlbertoM_203_merged,300,1,3.82,1
SP2010_AlbertoM_203_merged,940,6,1.45,2
SP2010_AlbertoM_203_merged,550,3,1.31,3
SP2010_AlbertoM_203_merged,1530,9,11.24,4
SP2010_AlbertoM_203_merged,320,3,-0.53,5
SP2010_AlbertoM_243_merged,160,2,-2.69,1
SP2010_AlbertoM_243_merged,230,3,-1.59,2
SP2010_AlbertoM_243_merged,510,6,-0.36,3
SP2010_AlbertoM_243_merged,700,5,1.61,4
SP2010_AlbertoM_243_merged,700,7,-1.66,5
SP2010_AlbertoM_243_merged,1180,8,2.48,6
SP2010_AlbertoM_265_merged,2700,7,98.05,1
SP2010_AlbertoM_265_merged,600,5,-1.39,2
SP2010_AlbertoM_265_merged,130,2,0.87,3
SP2010_AlbertoM_265_merged,370,4,-0.35,4
SP2010_AlbertoM_265_merged,1520,5,17.39,5
SP2010_AlbertoM_270_merged,280,2,0.05,1
SP2010_AlbertoM_270_merged,1190,4,45.69,2
SP2010_AlbertoM_270_merged,1860,9,9.12,3
SP2010_AlbertoM_290_merged,850,6,18.73,1
SP2010_AlbertoM_290_merged,1690,12,9.21,2
SP2010_AlbertoM_Isolated_0148,530,4,-0.64,1
SP2010_AlbertoM_Isolated_0148,890,7,2.73,2
SP2010_AlbertoM_Isolated_0148,2160,8,10.86,3
SP2010_AlbertoM_Isolated_0148,1020,8,4.76,4
SP2010_AlbertoM_Isolated_0315,450,3,0.27,1
SP2010_AlbertoM_Isolated_0315,520,4,0.92,2
SP2010_AlbertoM_Isolated_0315,900,6,2.48,3
SP2010_AlbertoM_Isolated_0315,1120,10,1.68,4
SP2010_AlbertoM_Isolated_0315,660,5,3.84,5
SP2010_AlbertoM_Isolated_0327,880,6,6.20,1
SP2010_AlbertoM_Isolated_0327,740,4,-0.16,2
SP2010_AlbertoM_Isolated_0327,620,4,1.26,3
SP2010_AlbertoM_Isolated_0327,420,5,-2.16,4
SP2010_AlbertoM_Isolated_0327,540,5,-0.52,5
SP2010_AlbertoM_Isolated_0477,390,1,6.15,1
SP2010_AlbertoM_Isolated_0477,330,2,3.81,2
SP2010_AlbertoM_Isolated_0477,830,5,-1.03,3
SP2010_AlbertoM_Isolated_0477,940,7,2.43,4
SP2010_AlbertoM_Isolated_0477,770,3,8.29,5
SP2010_AlbertoM_Isolated_0503,260,2,0.17,1
SP2010_AlbertoM_Isolated_0503,2160,9,12.41,2
SP2010_AlbertoM_Isolated_0503,1150,8,-0.71,3
SP2010_AlbertoM_Isolated_0503,1310,9,1.64,4
SP2010_AlbertoM_Isolated_0542,150,2,-2.58,1
SP2010_AlbertoM_Isolated_0542,700,6,5.18,2
SP2010_AlbertoM_Isolated_0542,980,5,10.67,3
SP2010_AlbertoM_Isolated_0542,1430,11,2.20,4
SP2010_AlbertoM_Isolated_0542,520,5,-0.20,5
SP2010_AlbertoM_Isolated_0542,690,5,2.29,6
SP2010_AliceM_001_merged,280,1,1.73,1
SP2010_AliceM_001_merged,1630,8,31.53,2
SP2010_AliceM_001_merged,610,4,3.10,3
SP2010_AliceM_001_merged,260,3,0.73,4
SP2010_AliceM_001_merged,500,6,3.18,5
SP2010_AliceM_001_merged,410,4,-1.43,6
SP2010_AliceM_008_merged,1440,4,27.92,1
SP2010_AliceM_008_merged,1670,6,43.65,2
SP2010_AliceM_008_merged,1730,7,18.34,3
SP2010_AliceM_015_merged,520,3,12.62,1
SP2010_AliceM_015_merged,1170,4,41.21,2
SP2010_AliceM_015_merged,850,7,-0.08,3
SP2010_AliceM_015_merged,710,5,-0.16,4
SP2010_AliceM_016_merged,1790,5,28.32,1
SP2010_AliceM_016_merged,520,4,-0.35,2
SP2010_AliceM_016_merged,730,5,1.24,3
SP2010_AliceM_016_merged,630,4,9.23,4
SP2010_AliceM_016_merged,1180,7,5.14,5
