audiofile,chunk,segment,duration_ms,z,filteredz,boundary,order
SP2010_AlbertoM_004_merged,no_label,ag,110,-1.50,-2.52,0,1
SP2010_AlbertoM_004_merged,chunk,ohr,60,-4.57,-3.55,0,2
SP2010_AlbertoM_004_merged,chunk,Ak,130,-0.34,-1.97,0,3
SP2010_AlbertoM_004_merged,chunk,U,30,-1.13,-1.88,0,4
SP2010_AlbertoM_004_merged,chunk,aNd,60,-5.28,-1.55,0,5
SP2010_AlbertoM_004_merged,chunk,Uf,220,2.64,0.10,0,6
SP2010_AlbertoM_004_merged,chunk,ehr,250,2.01,0.51,1,7
SP2010_AlbertoM_004_merged,chunk,IASf,230,-1.01,-0.78,0,8
SP2010_AlbertoM_004_merged,chunk,in,60,-3.06,-2.33,0,9
SP2010_AlbertoM_004_merged,chunk,aUd,90,-4.52,-2.66,0,10
SP2010_AlbertoM_004_merged,chunk,is,170,-0.42,-1.41,0,11
SP2010_AlbertoM_004_merged,chunk,em,160,-0.48,5.64,0,12
SP2010_AlbertoM_004_merged,chunk,an,270,1.81,17.85,0,13
SP2010_AlbertoM_004_merged,chunk,A,1200,76.07,28.72,1,14
SP2010_AlbertoM_004_merged,chunk,el,80,-3.34,15.84,0,15
SP2010_AlbertoM_004_merged,chunk,ISd,110,-1.95,3.77,0,16
SP2010_AlbertoM_004_merged,chunk,et,150,-1.49,-2.08,0,17
SP2010_AlbertoM_004_merged,chunk,eRm,130,-2.83,-2.20,0,18
SP2010_AlbertoM_004_merged,chunk,in,90,-1.88,-2.20,0,19
SP2010_AlbertoM_004_merged,chunk,av,70,-2.44,-2.10,0,20
SP2010_AlbertoM_004_merged,chunk,A,30,-1.93,-1.75,0,21
SP2010_AlbertoM_004_merged,chunk,uS,150,-0.79,-1.39,0,22
SP2010_AlbertoM_004_merged,chunk,or,140,-1.57,-1.17,0,23
SP2010_AlbertoM_004_merged,chunk,ar,150,-1.18,-0.90,0,24
SP2010_AlbertoM_004_merged,chunk,IUSd,210,0.42,-0.78,1,25
SP2010_AlbertoM_004_merged,chunk,el,120,-1.61,-1.17,0,26
SP2010_AlbertoM_004_merged,chunk,It,80,-2.29,-0.69,0,27
SP2010_AlbertoM_004_merged,chunk,inh,160,-0.33,1.21,0,28
SP2010_AlbertoM_004_merged,chunk,Ak,350,7.92,3.10,1,29
SP2010_AlbertoM_004_merged,chunk,ik,230,2.17,2.39,0,30
SP2010_AlbertoM_004_merged,chunk,uNpr,210,-2.49,-0.94,0,31
SP2010_AlbertoM_005_merged,no_label,ad,360,3.45,2.44,1,1
SP2010_AlbertoM_005_merged,chunk,ep,200,0.40,1.42,0,2
SP2010_AlbertoM_005_merged,chunk,eNdd,120,-4.06,-2.04,0,3
SP2010_AlbertoM_005_merged,chunk,uk,110,-2.80,-2.64,0,4
SP2010_AlbertoM_005_merged,chunk,i,40,-2.47,-2.60,1,5
SP2010_AlbertoM_005_merged,chunk,azh,140,-1.18,-2.69,0,6
SP2010_AlbertoM_005_merged,chunk,eNtf,100,-5.43,-3.24,0,7
